"Metabolite","Sequence","Field","Location","ICC"
"sIns","steam","3","ll",0.40008019661623
"sIns","steam","7","ul",0.974672283341809
"sIns","steam","7","ll",-0.248004176455305
"sIns","slaser","3","ul",0.752757314094385
"sIns","slaser","3","ll",0.603578765082954
"sIns","slaser","7","ul",0.78330056746139
"sIns","slaser","7","ll",0.857087204076042
"Tau","steam","3","ul",0.634316681814896
"Tau","steam","3","ll",-0.111123113152473
"Tau","steam","7","ul",0.695511226731532
"Tau","steam","7","ll",0.286751567441009
"Tau","slaser","3","ul",0.134186120725502
"Tau","slaser","3","ll",0.254382641743895
"Tau","slaser","7","ul",0.293982488074962
"Tau","slaser","7","ll",0.628058356864783
"Cr_PCr","steam","3","ul",NA
"Cr_PCr","steam","3","ll",NA
"Cr_PCr","steam","7","ul",NA
"Cr_PCr","steam","7","ll",NA
"Cr_PCr","slaser","3","ul",NA
"Cr_PCr","slaser","3","ll",NA
"Cr_PCr","slaser","7","ul",NA
"Cr_PCr","slaser","7","ll",NA
"NAA_NAAG","steam","3","ul",0.864373596518417
"NAA_NAAG","steam","3","ll",0.123409289318967
"NAA_NAAG","steam","7","ul",0.833602958011155
"NAA_NAAG","steam","7","ll",0.570908523144097
"NAA_NAAG","slaser","3","ul",0.8960935007508
"NAA_NAAG","slaser","3","ll",0.702410426514711
"NAA_NAAG","slaser","7","ul",0.981908892712256
"NAA_NAAG","slaser","7","ll",0.684878326066864
"Glu_Gln","steam","3","ul",0.323119723869523
"Glu_Gln","steam","3","ll",-0.0792136786875176
"Glu_Gln","steam","7","ul",0.481962338769831
"Glu_Gln","steam","7","ll",-0.0458460634257313
"Glu_Gln","slaser","3","ul",0.728627277952122
"Glu_Gln","slaser","3","ll",0.871203625686992
"Glu_Gln","slaser","7","ul",0.763505341697357
"Glu_Gln","slaser","7","ll",0.810090310000688
"PCho_GPC","steam","3","ul",0.900275099384847
"PCho_GPC","steam","3","ll",0.933168002613147
"PCho_GPC","steam","7","ul",0.726466408587474
"PCho_GPC","steam","7","ll",0.848408125621119
"PCho_GPC","slaser","3","ul",0.702437837878368
"PCho_GPC","slaser","3","ll",0.9156000156676
"PCho_GPC","slaser","7","ul",0.849264837459019
"PCho_GPC","slaser","7","ll",0.86314343891778
"MacY","steam","7","ul",0.737994812680292
"MacY","steam","7","ll",0.564679076199599
"Ala","steam","7","ul",0.52563148632212
"Ala","steam","7","ll",0
"Ala","slaser","7","ul",0.604915914040846
"Ala","slaser","7","ll",-0.0420228947764149
"Gly","steam","7","ul",NA
"Gly","steam","7","ll",NA
"Lac","steam","7","ul",0.860859040709657
"Lac","steam","7","ll",0.531058852929415
"Lac","slaser","7","ul",0.69432779359735
"Lac","slaser","7","ll",0.270811007173316
