Metabolite,Sequence,Field,Location,ICC
Cr_PCr,slaser,3,ll,0.927415083
Cr_PCr,slaser,7,ul,0.703017049
Cr_PCr,slaser,7,ll,0.399302858
NAA_NAAG,steam,3,ul,0.792945969
NAA_NAAG,steam,3,ll,0.890257567
NAA_NAAG,steam,7,ul,0.620924668
NAA_NAAG,steam,7,ll,0.595658444
NAA_NAAG,slaser,3,ul,0.81128616
NAA_NAAG,slaser,3,ll,0.93902139
NAA_NAAG,slaser,7,ul,0.824533188
NAA_NAAG,slaser,7,ll,0.746789723
Glu_Gln,steam,3,ul,0.123604749
Glu_Gln,steam,3,ll,-0.316264704
Glu_Gln,steam,7,ul,0.075600689
Glu_Gln,steam,7,ll,0.956861297
Glu_Gln,slaser,3,ul,0.952879616
Glu_Gln,slaser,3,ll,0.946192255
Glu_Gln,slaser,7,ul,0.478914486
Glu_Gln,slaser,7,ll,0.715627877
PCho_GPC,steam,3,ul,0.891930195
PCho_GPC,steam,3,ll,0.158718786
PCho_GPC,steam,7,ul,0.587805501
PCho_GPC,steam,7,ll,0.953317082
PCho_GPC,slaser,3,ul,0.905092137
PCho_GPC,slaser,3,ll,0.742918239
PCho_GPC,slaser,7,ul,0.870742332
PCho_GPC,slaser,7,ll,0.903689617
MacY,steam,7,ul,0.667465062
MacY,steam,7,ll,0.470262039
Ala,steam,7,ul,0.516931591
Ala,steam,7,ll,-1.20E-16
Ala,slaser,7,ul,0.59653595
Ala,slaser,7,ll,-0.031371566
Gly,steam,7,ul,NA
Gly,steam,7,ll,NA
Lac,steam,7,ul,0.873665385
Lac,steam,7,ll,0.550168861
Lac,slaser,7,ul,0.774145299
Lac,slaser,7,ll,0.262277249
