sequence,field,location,metabolite,mean_CRLB,std_CRLB,mean_tCr,std_tCr,mean_tissue,std_tissue
slaser,7,ll,Glu_Gln,2.3,0.273861279,1.176647271,0.079215255,12.11920681,0.884459639
steam,3,ll,GPC,3.7,0.670820393,0.275204525,0.024531357,2.841157091,0.13426231
steam,7,ll,GPC,6.6,1.24498996,0.189581409,0.035845444,1.737517264,0.383030753
slaser,3,ll,GPC,3.2,0.447213595,0.27376797,0.02962866,3.375181185,0.226466904
slaser,7,ul,Ala,17.5,3.5,0.09268952,0.036914491,0.925584217,0.348928443
steam,7,ul,Glc,43,NA,0.105194805,NA,1.002281743,NA
slaser,3,ul,Glc,28.875,10.33098092,0.1541857,0.062276967,1.85692713,0.753045248
steam,3,ul,Gln,17.9,5.616938668,0.206365923,0.051768303,2.1860496,0.492903855
steam,7,ul,Gln,15.6,7.528280016,0.186870101,0.044667831,1.909195029,0.390885183
slaser,3,ul,Gln,21.5,3.984344363,0.275860608,0.046082132,2.592905182,1.055488742
slaser,7,ul,Gln,10.4,2.133072901,0.241971619,0.042851906,2.471745688,0.393213758
steam,3,ul,Glu,3.9,0.418330013,1.000555682,0.054425275,10.66063565,0.499293533
steam,7,ul,Glu,3.3,0.974679434,0.875315214,0.047641832,8.962430849,0.327623274
slaser,3,ul,Glu,5.7,0.836660027,1.013263661,0.069191461,11.924605,0.948501513
slaser,7,ul,Glu,2.7,0.447213595,0.903053747,0.031441386,9.20588175,0.154272439
steam,3,ul,Glu_Gln,3.6,0.418330013,1.206899473,0.101402083,12.8464531,0.821515063
slaser,7,ul,Mac,2.5,0.353553391,0.000121799,8.13E-06,0.001228927,5.41E-05
steam,7,ul,Glu_Gln,3.5,0.866025404,1.062185297,0.088381125,10.73388119,0.579779483
slaser,3,ul,Glu_Gln,5.3,0.758287544,1.264982815,0.095263018,14.41682958,1.403744295
slaser,7,ul,Glu_Gln,2.8,0.273861279,1.144992815,0.065390685,11.36658021,0.519521331
slaser,7,ul,PCho,26.7,15.8492902,0.04260445,0.019626661,0.40105434,0.169263127
steam,3,ul,GPC,4.5,1.060660172,0.249255093,0.022109212,2.651886916,0.176785626
steam,7,ul,GPC,8.9,2.724885319,0.151246043,0.031250467,1.506460614,0.27220578
slaser,3,ul,GPC,8.8,2.079663434,0.211116293,0.020949264,2.509940056,0.228128955
slaser,7,ul,GPC,5.2,1.036822068,0.1771721,0.023926586,1.63666517,0.264434702
slaser,7,ll,GPC,4.5,1.457737974,0.190559421,0.017991778,1.896803291,0.212263609
