"Subject","Metabolite","Sequence","Location","Field","CV_tCr","CV_tissue"
"sub-01","GPC","slaser","ul",3,8.74943869276279,2.1290191169727
"sub-02","GPC","slaser","ul",3,25.9479155423317,20.3987158327597
"sub-03","GPC","slaser","ul",3,11.5542505506087,6.35200612536851
"sub-04","GPC","slaser","ul",3,24.8764272884789,34.2415962579249
"sub-05","GPC","slaser","ul",3,8.67820735323034,4.80915888125166
"sub-01","GPC","slaser","ll",3,5.89088426649781,1.49807762624054
"sub-02","GPC","slaser","ll",3,0.922944032109603,9.72734752077557
"sub-03","GPC","slaser","ll",3,0.97253870478625,1.46993105179744
"sub-04","GPC","slaser","ll",3,0.897859302319607,0.329779353594752
"sub-05","GPC","slaser","ll",3,3.40471853581424,1.73818809153171
"sub-01","GPC","slaser","ul",7,3.72593235980069,3.42912591803741
"sub-02","GPC","slaser","ul",7,10.1174152164063,5.77421500290515
"sub-03","GPC","slaser","ul",7,4.33077360842073,1.58920212568065
"sub-04","GPC","slaser","ul",7,23.5184774743332,23.0554336182592
"sub-05","GPC","slaser","ul",7,2.30131445994607,0.457885623644206
"sub-01","GPC","slaser","ll",7,3.23186485489523,1.23119769753262
"sub-02","GPC","slaser","ll",7,1.40094718070077,2.51322512158184
"sub-03","GPC","slaser","ll",7,8.37995724321499,5.36034890213096
"sub-04","GPC","slaser","ll",7,0.828339783795607,2.55951264063663
"sub-05","GPC","slaser","ll",7,3.65184294854637,2.19334080721292
"sub-01","Cr","steam","ul",3,2.40844679382396,2.83059953434675
"sub-02","Cr","steam","ul",3,10.0845571327299,12.9046205565592
"sub-03","Cr","steam","ul",3,1.38417151360388,1.78764235506407
"sub-04","Cr","steam","ul",3,0.881754349969162,0.722451605488659
"sub-05","Cr","steam","ul",3,6.48092969825246,8.93129609268829
"sub-01","Cr","steam","ll",3,3.47320684920967,4.65875755584223
"sub-02","Cr","steam","ll",3,8.31004550910474,10.3008101872189
