"sequence","field","location","sub","session","metabolite","CRLB","tCr","tissue"
"steam",3,"ll","sub-01",2,"Glu",4,0.976004403,10.62629356
"steam",3,"ll","sub-01",2,"GSH",11,0.149367089,1.626241164
"steam",3,"ll","sub-01",2,"Ins",3,0.847660985,9.228948544
"steam",3,"ll","sub-01",2,"NAA",2,1.298073748,14.13283862
"steam",3,"ll","sub-01",2,"NAAG",10,0.191524491,2.08523185
"steam",3,"ll","sub-01",2,"PE",153,0.031700605,0.345141824
"steam",3,"ll","sub-01",2,"sIns",14,0.044689049,0.486554098
"steam",3,"ll","sub-01",2,"Tau",11,0.293450744,3.194958683
"steam",3,"ll","sub-01",2,"Cr_PCr",2,1,10.88874516
"steam",3,"ll","sub-01",2,"NAA_NAAG",1,1.48959824,16.21807047
"steam",3,"ll","sub-01",2,"Glu_Gln",3,1.203632361,13.10460379
"steam",3,"ll","sub-01",2,"PCho_GPC",3,0.297523391,3.23929982
"steam",3,"ul","sub-02",1,"Mac",2,9.07e-05,0.000954377
"steam",3,"ul","sub-02",1,"Asc",999,0,0
"steam",3,"ul","sub-02",1,"Asp",9,0.403583993,4.246687551
"steam",3,"ul","sub-02",1,"PCho",999,0,0
"steam",3,"ul","sub-02",1,"GPC",3,0.270778364,2.849248553
"steam",3,"ul","sub-02",1,"Cr",6,0.61796394,6.502487258
"steam",3,"ul","sub-02",1,"PCr",9,0.38203606,4.01995076
"steam",3,"ul","sub-02",1,"GABA",30,0.104001759,1.094352063
"steam",3,"ul","sub-02",1,"Glc",33,0.102352682,1.076999758
"steam",3,"ul","sub-02",1,"Gln",13,0.243183817,2.558886642
"steam",3,"ul","sub-02",1,"Glu",4,0.98526825,10.36742409
"steam",3,"ul","sub-02",1,"GSH",8,0.177220756,1.864794424
"steam",3,"ul","sub-02",1,"Ins",2,0.954485488,10.04351439
"steam",3,"ul","sub-02",1,"NAA",2,1.305518909,13.7372418
"steam",3,"ul","sub-02",1,"NAAG",8,0.256816183,2.702332367
"steam",3,"ul","sub-02",1,"PE",50,0.081134565,0.853733428
"steam",3,"ul","sub-02",1,"sIns",14,0.042216359,0.444219019
"steam",3,"ul","sub-02",1,"Tau",13,0.240325418,2.528809312
"steam",3,"ul","sub-02",1,"Cr_PCr",2,1,10.52243802
"steam",3,"ul","sub-02",1,"NAA_NAAG",1,1.562445031,16.44073099
"steam",3,"ul","sub-02",1,"Glu_Gln",3,1.228452067,12.92631073
"steam",3,"ul","sub-02",1,"PCho_GPC",3,0.270778364,2.849248553
"steam",3,"ll","sub-02",1,"Mac",3,6.88e-05,0.000710686
"steam",3,"ll","sub-02",1,"Asc",999,0,0
"steam",3,"ll","sub-02",1,"Asp",11,0.383101084,3.957904428
"steam",3,"ll","sub-02",1,"PCho",999,0,0
"steam",3,"ll","sub-02",1,"GPC",3,0.296615793,3.064405218
"steam",3,"ll","sub-02",1,"Cr",6,0.639239106,6.604124594
"steam",3,"ll","sub-02",1,"PCr",10,0.360760894,3.727102842
"steam",3,"ll","sub-02",1,"GABA",14,0.277482858,2.866738513
"steam",3,"ll","sub-02",1,"Glc",101,0.039703605,0.410186977
"steam",3,"ll","sub-02",1,"Gln",12,0.332780358,3.438029568
"steam",3,"ll","sub-02",1,"Glu",4,1.089471356,11.25557636
"steam",3,"ll","sub-02",1,"GSH",8,0.236230922,2.440555386
"steam",3,"ll","sub-02",1,"Ins",3,0.99823048,10.31294612
"steam",3,"ll","sub-02",1,"NAA",3,1.289648308,13.32364998
"steam",3,"ll","sub-02",1,"NAAG",6,0.413182924,4.268686762
"steam",3,"ll","sub-02",1,"PE",442,0.011170095,0.115400793
"steam",3,"ll","sub-02",1,"sIns",19,0.038376465,0.396475992
"steam",3,"ll","sub-02",1,"Tau",12,0.279915948,2.891875319
"steam",3,"ll","sub-02",1,"Cr_PCr",2,1,10.33122744
"steam",3,"ll","sub-02",1,"NAA_NAAG",1,1.702831232,17.59233674
"steam",3,"ll","sub-02",1,"Glu_Gln",3,1.422251714,14.69360593
"steam",3,"ll","sub-02",1,"PCho_GPC",3,0.296615793,3.064405218
"steam",3,"ul","sub-02",2,"Mac",2,9.29e-05,0.000939128
"steam",3,"ul","sub-02",2,"Asc",39,0.093592677,0.946067352
"steam",3,"ul","sub-02",2,"Asp",12,0.31979405,3.232589547
"steam",3,"ul","sub-02",2,"PCho",999,0,0
"steam",3,"ul","sub-02",2,"GPC",3,0.267162471,2.700571231
"steam",3,"ul","sub-02",2,"Cr",7,0.535697941,5.415021201
"steam",3,"ul","sub-02",2,"PCr",8,0.464302059,4.693326791
"steam",3,"ul","sub-02",2,"GABA",41,0.082379863,0.83272432
"steam",3,"ul","sub-02",2,"Glc",25,0.151258581,1.528974376
"steam",3,"ul","sub-02",2,"Gln",15,0.233066362,2.355915888
"steam",3,"ul","sub-02",2,"Glu",4,0.986956522,9.976499975
"steam",3,"ul","sub-02",2,"GSH",9,0.189244851,1.912952812
"steam",3,"ul","sub-02",2,"Ins",3,0.899199085,9.089417262
"steam",3,"ul","sub-02",2,"NAA",2,1.3902746,14.05337946
"steam",3,"ul","sub-02",2,"NAAG",12,0.180663616,1.826210696
"steam",3,"ul","sub-02",2,"PE",35,0.138215103,1.397126359
"steam",3,"ul","sub-02",2,"sIns",10,0.070823799,0.715911603
"steam",3,"ul","sub-02",2,"Tau",13,0.273112128,2.760712432
"steam",3,"ul","sub-02",2,"Cr_PCr",2,1,10.10834799
"steam",3,"ul","sub-02",2,"NAA_NAAG",1,1.570938215,15.87959015
"steam",3,"ul","sub-02",2,"Glu_Gln",4,1.220022883,12.33241586
"steam",3,"ul","sub-02",2,"PCho_GPC",3,0.267162471,2.700571231
"steam",3,"ll","sub-02",2,"Mac",2,9.55e-05,0.000959525
"steam",3,"ll","sub-02",2,"Asc",24,0.164573009,1.652837573
"steam",3,"ll","sub-02",2,"Asp",12,0.330989973,3.324194334
"steam",3,"ll","sub-02",2,"PCho",999,0,0
"steam",3,"ll","sub-02",2,"GPC",3,0.283623372,2.84848268
"steam",3,"ll","sub-02",2,"Cr",6,0.568283969,5.707382404
"steam",3,"ll","sub-02",2,"PCr",8,0.431716031,4.335805006
"steam",3,"ll","sub-02",2,"GABA",53,0.065806154,0.660903539
"steam",3,"ll","sub-02",2,"Glc",37,0.10637317,1.068325686
"steam",3,"ll","sub-02",2,"Gln",19,0.194767777,1.956089285
"steam",3,"ll","sub-02",2,"Glu",4,0.919903192,9.238760159
"steam",3,"ll","sub-02",2,"GSH",11,0.175175752,1.759322907
"steam",3,"ll","sub-02",2,"Ins",3,0.923014867,9.27001129
"steam",3,"ll","sub-02",2,"NAA",3,1.222888095,12.28169432
"steam",3,"ll","sub-02",2,"NAAG",9,0.235680535,2.366983779
"steam",3,"ll","sub-02",2,"PE",48,0.100034574,1.004665976
"steam",3,"ll","sub-02",2,"sIns",10,0.075371672,0.75697183
"steam",3,"ll","sub-02",2,"Tau",12,0.286389305,2.876261463
"steam",3,"ll","sub-02",2,"Cr_PCr",2,1,10.04202996
"steam",3,"ll","sub-02",2,"NAA_NAAG",2,1.458683877,14.64983555
"steam",3,"ll","sub-02",2,"Glu_Gln",4,1.114670969,11.19484944
"steam",3,"ll","sub-02",2,"PCho_GPC",3,0.283623372,2.84848268
"steam",3,"ul","sub-03",1,"Mac",3,8.12e-05,0.000893331
"steam",3,"ul","sub-03",1,"Asc",67,0.062884263,0.691649445
"steam",3,"ul","sub-03",1,"Asp",18,0.236004746,2.595761554
"steam",3,"ul","sub-03",1,"PCho",123,0.015640168,0.172022589
"steam",3,"ul","sub-03",1,"GPC",7,0.233739618,2.570847938
"steam",3,"ul","sub-03",1,"Cr",7,0.570704347,6.277044965
"steam",3,"ul","sub-03",1,"PCr",10,0.429295653,4.721723486
"steam",3,"ul","sub-03",1,"GABA",158,0.023622047,0.259813428
"steam",3,"ul","sub-03",1,"Glc",21,0.199870564,2.198330055
"steam",3,"ul","sub-03",1,"Gln",19,0.201488513,2.216125495
"steam",3,"ul","sub-03",1,"Glu",4,1.088663575,11.97395858
"steam",3,"ul","sub-03",1,"GSH",11,0.177435012,1.951566617
"steam",3,"ul","sub-03",1,"Ins",3,0.820839176,9.028220032
"steam",3,"ul","sub-03",1,"NAA",3,1.272138928,13.9919615
"steam",3,"ul","sub-03",1,"NAAG",16,0.152087153,1.672771386
"steam",3,"ul","sub-03",1,"PE",117,0.053715888,0.590808617
"steam",3,"ul","sub-03",1,"sIns",15,0.051558624,0.567081363
"steam",3,"ul","sub-03",1,"Tau",17,0.223816201,2.461702571
"steam",3,"ul","sub-03",1,"Cr_PCr",2,1,10.99876845
"steam",3,"ul","sub-03",1,"NAA_NAAG",2,1.424226081,15.66473289
"steam",3,"ul","sub-03",1,"Glu_Gln",4,1.290152087,14.19008407
"steam",3,"ul","sub-03",1,"PCho_GPC",4,0.249271923,2.741684165
"steam",3,"ll","sub-03",1,"Mac",4,6.6e-05,0.000683842
"steam",3,"ll","sub-03",1,"Asc",21,0.219041278,2.268745696
"steam",3,"ll","sub-03",1,"Asp",32,0.155126498,1.606740873
"steam",3,"ll","sub-03",1,"PCho",999,0,0
"steam",3,"ll","sub-03",1,"GPC",4,0.283510874,2.936497089
"steam",3,"ll","sub-03",1,"Cr",7,0.642365735,6.653378337
"steam",3,"ll","sub-03",1,"PCr",12,0.357634265,3.704238794
"steam",3,"ll","sub-03",1,"GABA",33,0.121948513,1.263096008
"steam",3,"ll","sub-03",1,"Glc",14,0.304482912,3.153717422
"steam",3,"ll","sub-03",1,"Gln",16,0.276964048,2.868687568
"steam",3,"ll","sub-03",1,"Glu",5,1.0084332,10.44496499
"steam",3,"ll","sub-03",1,"GSH",12,0.193297825,2.002104865
"steam",3,"ll","sub-03",1,"Ins",3,0.974256547,10.0909763
"steam",3,"ll","sub-03",1,"NAA",3,1.185863293,12.28271796
"steam",3,"ll","sub-03",1,"NAAG",8,0.311029738,3.221526944
"steam",3,"ll","sub-03",1,"PE",59,0.100976476,1.045875676
"steam",3,"ll","sub-03",1,"sIns",18,0.04915668,0.509146071
